Id,SleepDay,TotalMinutesAsleep,TotalTimeInBed,TimeToFallAsleep
1503960366,4/12/16,327,346,19
1503960366,4/13/16,384,407,23
1503960366,4/15/16,412,442,30
1503960366,4/16/16,340,367,27
1503960366,4/17/16,700,712,12
1503960366,4/19/16,304,320,16
1503960366,4/20/16,360,377,17
1503960366,4/21/16,325,364,39
1503960366,4/23/16,361,384,23
1503960366,4/24/16,430,449,19
1503960366,4/25/16,277,323,46
1503960366,4/26/16,245,274,29
1503960366,4/28/16,366,393,27
1503960366,4/29/16,341,354,13
1503960366,4/30/16,404,425,21
1503960366,5/1/16,369,396,27
1503960366,5/2/16,277,309,32
1503960366,5/3/16,273,296,23
1503960366,5/5/16,247,264,17
1503960366,5/6/16,334,367,33
1503960366,5/7/16,331,349,18
1503960366,5/8/16,594,611,17
1503960366,5/9/16,338,342,4
1503960366,5/10/16,383,403,20
1503960366,5/11/16,285,306,21
1644430081,4/29/16,119,127,8
1644430081,4/30/16,124,142,18
1644430081,5/2/16,796,961,165
1644430081,5/8/16,137,154,17
1844505072,4/15/16,644,961,317
1844505072,4/30/16,722,961,239
1844505072,5/1/16,590,961,371
1927972279,4/12/16,750,775,25
1927972279,4/13/16,398,422,24
1927972279,4/15/16,475,499,24
1927972279,4/26/16,296,315,19
1927972279,4/28/16,166,178,12
2026352035,4/12/16,503,546,43
2026352035,4/13/16,531,565,34
2026352035,4/14/16,545,568,23
2026352035,4/15/16,523,573,50
2026352035,4/16/16,524,567,43
2026352035,4/17/16,437,498,61
2026352035,4/19/16,498,540,42
2026352035,4/20/16,461,510,49
2026352035,4/21/16,477,514,37
2026352035,4/22/16,520,545,25
2026352035,4/23/16,522,554,32
2026352035,4/24/16,555,591,36
2026352035,4/25/16,506,531,25
2026352035,4/27/16,508,545,37
2026352035,4/28/16,513,545,32
2026352035,4/29/16,490,510,20
2026352035,4/30/16,573,607,34
2026352035,5/1/16,527,546,19
2026352035,5/2/16,511,543,32
2026352035,5/4/16,538,560,22
2026352035,5/5/16,468,485,17
2026352035,5/6/16,524,548,24
2026352035,5/7/16,511,521,10
2026352035,5/8/16,541,568,27
2026352035,5/9/16,531,556,25
2026352035,5/10/16,357,380,23
2026352035,5/11/16,523,553,30
2026352035,5/12/16,456,485,29
2320127002,4/23/16,61,69,8
2347167796,4/13/16,467,531,64
2347167796,4/14/16,445,489,44
2347167796,4/15/16,452,504,52
2347167796,4/17/16,556,602,46
2347167796,4/18/16,500,557,57
2347167796,4/19/16,465,514,49
2347167796,4/21/16,460,484,24
2347167796,4/22/16,405,461,56
2347167796,4/23/16,374,386,12
2347167796,4/24/16,442,459,17
2347167796,4/25/16,433,471,38
2347167796,4/26/16,436,490,54
2347167796,4/27/16,448,499,51
2347167796,4/28/16,408,450,42
2347167796,4/29/16,411,473,62
3977333714,4/12/16,274,469,195
3977333714,4/13/16,295,456,161
3977333714,4/14/16,291,397,106
3977333714,4/15/16,424,556,132
3977333714,4/16/16,283,510,227
3977333714,4/17/16,381,566,185
3977333714,4/18/16,412,522,110
3977333714,4/19/16,219,395,176
3977333714,4/20/16,152,305,153
3977333714,4/21/16,332,512,180
3977333714,4/22/16,355,476,121
3977333714,4/23/16,235,372,137
3977333714,4/24/16,310,526,216
3977333714,4/25/16,262,467,205
3977333714,4/26/16,250,371,121
3977333714,4/27/16,349,540,191
3977333714,4/28/16,261,423,162
3977333714,4/29/16,333,478,145
3977333714,4/30/16,237,382,145
